rank,candidate_id,current_title,years_experience,final_score
109,CAND_0041610,Recommendation Systems Engineer,6.7,81.531
110,CAND_0093912,Senior Data Scientist,5.3,81.525
111,CAND_0091890,AI Research Engineer,4.7,81.438
112,CAND_0058688,AI Engineer,6.7,80.993
113,CAND_0052328,Recommendation Systems Engineer,6.5,80.902
114,CAND_0009024,Search Engineer,5.2,80.787
115,CAND_0076251,Search Engineer,7.6,80.688
116,CAND_0058575,AI Engineer,5.8,80.578
117,CAND_0094056,NLP Engineer,5.9,80.578
118,CAND_0023583,ML Engineer,4.1,80.565
119,CAND_0025640,AI Research Engineer,5.6,80.559
120,CAND_0074225,Machine Learning Engineer,4.3,80.378
121,CAND_0082973,AI Specialist,6.4,80.352
122,CAND_0032515,Machine Learning Engineer,5.1,80.334
123,CAND_0047327,Junior ML Engineer,5.0,80.316
124,CAND_0066035,Data Scientist,6.7,80.193
125,CAND_0079284,Machine Learning Engineer,4.9,80.191
126,CAND_0005538,Senior AI Engineer,5.9,80.1
127,CAND_0061156,Senior Software Engineer (ML),6.0,80.093
128,CAND_0001218,AI Specialist,6.4,79.967
129,CAND_0093883,AI Research Engineer,5.0,79.93
130,CAND_0035764,Senior Software Engineer (ML),6.8,79.868
131,CAND_0093547,Senior Machine Learning Engineer,2.9,79.865
132,CAND_0043860,Junior ML Engineer,6.1,79.863
133,CAND_0068351,Lead AI Engineer,6.4,79.8
134,CAND_0045613,Computer Vision Engineer,5.0,79.677
135,CAND_0074735,Applied ML Engineer,5.5,79.633
136,CAND_0073883,AI Specialist,5.3,79.595
137,CAND_0055139,ML Engineer,6.9,79.554
138,CAND_0000981,ML Engineer,6.4,79.476
139,CAND_0024878,AI Specialist,5.7,79.352
140,CAND_0046924,Computer Vision Engineer,6.3,79.336
141,CAND_0049538,Applied ML Engineer,5.8,79.33
142,CAND_0060257,AI Specialist,5.8,79.306
143,CAND_0048558,Data Scientist,6.7,79.233
144,CAND_0068081,Computer Vision Engineer,6.2,79.109
145,CAND_0010149,ML Engineer,6.9,79.061
146,CAND_0028838,Data Scientist,3.1,79.06
147,CAND_0069771,Junior ML Engineer,5.7,78.815
148,CAND_0010603,ML Engineer,5.3,78.767
149,CAND_0004402,AI Research Engineer,6.0,78.755
150,CAND_0022720,AI Research Engineer,6.5,78.688
151,CAND_0042100,Machine Learning Engineer,7.3,78.645
152,CAND_0099806,AI Engineer,4.6,78.612
153,CAND_0039838,Recommendation Systems Engineer,4.9,78.529
154,CAND_0006567,Senior AI Engineer,7.9,78.361
155,CAND_0064331,Senior Software Engineer (ML),4.2,78.237
156,CAND_0092245,Senior Data Scientist,4.1,78.134
157,CAND_0024147,ML Engineer,5.9,78.064
158,CAND_0097896,AI Research Engineer,4.8,78.042
159,CAND_0051292,Applied ML Engineer,5.2,78.032
160,CAND_0067041,Data Scientist,6.9,78.008
161,CAND_0087364,Recommendation Systems Engineer,4.9,77.874
162,CAND_0006581,AI Specialist,3.3,77.829
163,CAND_0089726,Junior ML Engineer,3.1,77.733
164,CAND_0050454,AI Engineer,6.8,77.72
165,CAND_0006354,Data Scientist,4.5,77.667
166,CAND_0007009,Recommendation Systems Engineer,7.9,77.622
167,CAND_0014440,Recommendation Systems Engineer,6.4,77.533
168,CAND_0051630,Machine Learning Engineer,6.0,77.532
169,CAND_0024203,Junior ML Engineer,4.4,77.492
170,CAND_0006850,Data Scientist,3.7,77.46
171,CAND_0008618,Computer Vision Engineer,4.7,77.38
172,CAND_0065878,Senior Data Scientist,7.8,77.215
173,CAND_0033749,Computer Vision Engineer,4.7,77.043
174,CAND_0037160,Data Scientist,6.0,76.932
175,CAND_0048360,Computer Vision Engineer,3.4,76.915
176,CAND_0026362,Data Scientist,5.0,76.878
177,CAND_0073633,ML Engineer,4.1,76.876
178,CAND_0020991,Junior ML Engineer,4.9,76.83
179,CAND_0051486,AI Specialist,5.9,76.821
180,CAND_0019480,NLP Engineer,2.8,76.814
181,CAND_0007460,AI Engineer,4.7,76.802
182,CAND_0029367,Senior Data Scientist,5.7,76.674
183,CAND_0016267,AI Specialist,3.6,76.617
184,CAND_0011327,AI Research Engineer,6.3,76.602
185,CAND_0037000,Search Engineer,2.7,76.585
186,CAND_0035879,AI Research Engineer,4.5,76.529
187,CAND_0079064,Senior Data Scientist,5.2,76.485
188,CAND_0070485,Search Engineer,6.4,76.449
189,CAND_0070333,AI Research Engineer,4.7,76.448
190,CAND_0016163,Applied ML Engineer,6.7,76.366
191,CAND_0067322,Data Scientist,4.3,76.308
192,CAND_0027723,ML Engineer,4.2,76.293
193,CAND_0033179,AI Research Engineer,6.9,76.229
194,CAND_0028908,Junior ML Engineer,3.1,76.104
195,CAND_0068892,Senior Software Engineer (ML),4.7,76.093
196,CAND_0039308,AI Research Engineer,5.6,76.078
197,CAND_0012837,Junior ML Engineer,6.4,75.976
198,CAND_0086893,ML Engineer,3.9,75.934
199,CAND_0043381,AI Research Engineer,3.6,75.703
200,CAND_0049217,Computer Vision Engineer,6.0,75.677
201,CAND_0026640,Computer Vision Engineer,6.1,75.634
202,CAND_0007412,Applied ML Engineer,7.4,75.614
203,CAND_0039521,Search Engineer,3.0,75.593
204,CAND_0012957,Search Engineer,4.9,75.584
205,CAND_0069386,ML Engineer,3.5,75.573
206,CAND_0078002,Machine Learning Engineer,6.3,75.423
207,CAND_0013393,ML Engineer,5.3,75.158
208,CAND_0000031,Recommendation Systems Engineer,6.0,75.13
209,CAND_0032179,Computer Vision Engineer,6.4,75.127
210,CAND_0098952,AI Research Engineer,5.5,75.124
211,CAND_0052682,NLP Engineer,6.6,74.981
212,CAND_0072660,Machine Learning Engineer,7.1,74.974
213,CAND_0060315,Senior Software Engineer (ML),5.4,74.957
214,CAND_0037566,Machine Learning Engineer,6.9,74.909
215,CAND_0006538,AI Specialist,5.7,74.907
216,CAND_0001600,AI Specialist,6.2,74.835
217,CAND_0074325,AI Research Engineer,3.9,74.812
218,CAND_0009505,Computer Vision Engineer,4.9,74.811
219,CAND_0038099,Junior ML Engineer,5.4,74.785
220,CAND_0084819,Search Engineer,4.5,74.77
221,CAND_0022870,AI Specialist,6.7,74.75
222,CAND_0076163,NLP Engineer,6.9,74.724
223,CAND_0033911,Data Scientist,6.9,74.69
224,CAND_0066999,Recommendation Systems Engineer,5.9,74.683
225,CAND_0096104,AI Specialist,7.0,74.657
226,CAND_0044262,Data Scientist,6.9,74.597
227,CAND_0002120,ML Engineer,6.5,74.522
228,CAND_0026410,Computer Vision Engineer,3.2,74.499
229,CAND_0030946,Junior ML Engineer,6.7,74.484
230,CAND_0040887,Machine Learning Engineer,4.7,74.363
231,CAND_0050876,Applied ML Engineer,6.0,74.352
232,CAND_0088385,Computer Vision Engineer,7.0,74.329
233,CAND_0067866,Senior Software Engineer (ML),6.4,74.32
234,CAND_0026424,Senior Software Engineer (ML),5.6,74.297
235,CAND_0087766,Computer Vision Engineer,5.1,74.194
236,CAND_0078492,Recommendation Systems Engineer,5.1,74.142
237,CAND_0083879,Machine Learning Engineer,7.1,74.121
238,CAND_0018653,ML Engineer,6.5,74.116
239,CAND_0098846,AI Engineer,7.6,74.099
240,CAND_0086028,AI Research Engineer,6.2,74.081
241,CAND_0091899,Senior Software Engineer (ML),5.8,74.008
242,CAND_0009691,Applied ML Engineer,6.2,73.884
243,CAND_0065195,Search Engineer,5.1,73.832
244,CAND_0077067,AI Specialist,5.4,73.822
245,CAND_0066309,Senior Software Engineer (ML),5.3,73.761
246,CAND_0098454,AI Specialist,6.6,73.761
247,CAND_0005191,AI Specialist,6.2,73.647
248,CAND_0052335,Applied ML Engineer,6.4,73.636
249,CAND_0025971,Junior ML Engineer,5.4,73.632
250,CAND_0025882,Senior Software Engineer (ML),5.6,73.63
251,CAND_0061175,AI Research Engineer,6.7,73.627
252,CAND_0002037,ML Engineer,5.5,73.583
253,CAND_0035315,Data Scientist,4.9,73.539
254,CAND_0024990,Junior ML Engineer,5.2,73.51
255,CAND_0054100,Junior ML Engineer,6.0,73.472
256,CAND_0040820,Senior Software Engineer (ML),5.5,73.45
257,CAND_0063328,Computer Vision Engineer,4.6,73.45
258,CAND_0094728,AI Specialist,6.5,73.424
259,CAND_0088067,Backend Engineer,8.0,73.4
260,CAND_0014063,AI Specialist,5.4,73.394
261,CAND_0083852,Data Scientist,6.0,73.368
262,CAND_0015643,AI Research Engineer,5.8,73.188
263,CAND_0010541,AI Research Engineer,6.2,73.168
264,CAND_0062413,AI Research Engineer,6.6,73.123
265,CAND_0004972,ML Engineer,6.0,73.12
266,CAND_0003977,Recommendation Systems Engineer,4.6,73.101
267,CAND_0052827,Data Scientist,5.9,73.091
268,CAND_0017178,ML Engineer,4.2,73.081
269,CAND_0001302,Computer Vision Engineer,5.8,73.056
270,CAND_0031842,AI Specialist,3.5,72.939
271,CAND_0095567,Data Scientist,5.1,72.766
272,CAND_0054173,Computer Vision Engineer,5.1,72.668
273,CAND_0007596,Junior ML Engineer,4.4,72.559
274,CAND_0099269,Data Scientist,5.5,72.502
275,CAND_0009236,AI Specialist,6.3,72.439
276,CAND_0020708,Search Engineer,4.2,72.423
277,CAND_0036437,Search Engineer,4.8,72.349
278,CAND_0003557,ML Engineer,6.8,72.307
279,CAND_0072091,ML Engineer,4.6,72.215
280,CAND_0073504,Junior ML Engineer,6.6,72.199
281,CAND_0015582,ML Engineer,4.4,72.159
282,CAND_0072020,Senior Software Engineer (ML),6.1,72.134
283,CAND_0022812,Applied ML Engineer,4.5,72.103
284,CAND_0008239,AI Engineer,4.0,72.069
285,CAND_0068932,ML Engineer,5.2,72.066
286,CAND_0048469,Computer Vision Engineer,4.7,72.037
287,CAND_0068985,Senior Software Engineer (ML),5.2,71.985
288,CAND_0016659,ML Engineer,4.4,71.962
289,CAND_0058882,Computer Vision Engineer,3.6,71.955
290,CAND_0062772,Senior Software Engineer (ML),6.6,71.941
291,CAND_0014858,AI Research Engineer,4.9,71.918
292,CAND_0034400,ML Engineer,3.8,71.915
293,CAND_0011140,ML Engineer,5.1,71.896
294,CAND_0001151,Junior ML Engineer,5.0,71.841
295,CAND_0019845,AI Specialist,3.4,71.732
296,CAND_0086062,ML Engineer,4.1,71.673
297,CAND_0055624,Data Scientist,3.8,71.668
298,CAND_0082913,Senior Software Engineer (ML),5.5,71.597
299,CAND_0069953,Computer Vision Engineer,5.4,71.334
300,CAND_0024620,AI Engineer,5.9,71.209
301,CAND_0055627,Data Analyst,6.9,71.162
302,CAND_0051219,AI Research Engineer,3.8,71.108
303,CAND_0060303,AI Research Engineer,4.9,71.097
304,CAND_0033303,AI Specialist,4.4,71.09
305,CAND_0093193,Senior Machine Learning Engineer,7.9,71.087
306,CAND_0043450,AI Research Engineer,3.3,71.067
307,CAND_0032807,Machine Learning Engineer,4.2,71.065
308,CAND_0017918,ML Engineer,3.2,71.039
309,CAND_0084681,AI Specialist,3.5,70.996
310,CAND_0000422,AI Research Engineer,6.3,70.803
311,CAND_0054703,Computer Vision Engineer,6.8,70.726
312,CAND_0063585,AI Research Engineer,3.1,70.667
313,CAND_0032216,ML Engineer,6.1,70.63
314,CAND_0092468,Senior Software Engineer (ML),4.9,70.596
315,CAND_0015065,AI Research Engineer,3.9,70.384
316,CAND_0046108,ML Engineer,3.6,70.326
317,CAND_0061257,Staff Machine Learning Engineer,8.0,70.316
318,CAND_0021491,AI Research Engineer,6.1,70.239
319,CAND_0035653,Data Scientist,5.6,70.236
320,CAND_0022127,Computer Vision Engineer,5.5,70.196
321,CAND_0065277,Computer Vision Engineer,6.3,70.166
322,CAND_0036863,Senior Data Scientist,4.3,70.153
323,CAND_0001405,Data Scientist,3.5,70.13
324,CAND_0030207,Data Scientist,4.0,70.103
325,CAND_0093331,NLP Engineer,16.1,70.098
326,CAND_0062707,Senior Software Engineer (ML),5.6,70.069
327,CAND_0098690,Software Engineer,5.6,70.04
328,CAND_0038949,ML Engineer,6.4,70.035
329,CAND_0021827,AI Research Engineer,4.4,69.946
330,CAND_0032955,Computer Vision Engineer,5.2,69.936
331,CAND_0057134,Data Scientist,3.0,69.88
332,CAND_0015132,AI Specialist,5.1,69.879
333,CAND_0018925,AI Research Engineer,5.8,69.85
334,CAND_0000165,AI Specialist,6.8,69.802
335,CAND_0063862,ML Engineer,5.3,69.801
336,CAND_0058152,Data Scientist,3.6,69.745
337,CAND_0006821,Senior Software Engineer (ML),5.0,69.715
338,CAND_0088378,AI Research Engineer,6.0,69.699
339,CAND_0033408,Data Analyst,7.0,69.698
340,CAND_0016678,Junior ML Engineer,6.8,69.695
341,CAND_0056262,Junior ML Engineer,6.0,69.689
342,CAND_0068777,AI Research Engineer,6.6,69.674
343,CAND_0054829,Computer Vision Engineer,5.7,69.636
344,CAND_0033350,Data Scientist,6.2,69.611
345,CAND_0077060,Data Engineer,7.7,69.603
346,CAND_0001085,Senior Software Engineer,5.5,69.54
347,CAND_0019200,AI Research Engineer,7.0,69.54
348,CAND_0096209,ML Engineer,4.2,69.537
349,CAND_0085744,Senior Software Engineer,7.4,69.491
350,CAND_0069638,Computer Vision Engineer,6.2,69.455
351,CAND_0043304,Junior ML Engineer,6.5,69.45
352,CAND_0074123,Data Scientist,6.9,69.45
353,CAND_0036121,ML Engineer,5.2,69.449
354,CAND_0079830,Junior ML Engineer,3.6,69.44
355,CAND_0076587,AI Specialist,4.9,69.334
356,CAND_0002704,Software Engineer,7.8,69.26
357,CAND_0015967,Senior Software Engineer (ML),5.4,69.257
358,CAND_0002426,Data Scientist,3.3,69.236
359,CAND_0037417,Data Scientist,3.3,69.148
360,CAND_0094292,AI Specialist,6.5,69.121
361,CAND_0049978,Senior Software Engineer (ML),6.6,69.082
362,CAND_0080534,ML Engineer,3.8,69.081
363,CAND_0046793,ML Engineer,4.0,69.08
364,CAND_0053605,Senior Software Engineer (ML),6.9,68.89
365,CAND_0085557,Data Scientist,3.1,68.785
366,CAND_0028527,AI Specialist,5.4,68.733
367,CAND_0034164,Data Scientist,3.6,68.565
368,CAND_0087006,Senior Software Engineer (ML),5.7,68.526
369,CAND_0044091,ML Engineer,6.5,68.466
370,CAND_0041402,AI Specialist,6.3,68.402
371,CAND_0001494,Data Scientist,6.4,68.309
372,CAND_0082489,ML Engineer,5.3,68.286
373,CAND_0015478,ML Engineer,3.6,68.214
374,CAND_0057736,Computer Vision Engineer,6.2,68.138
375,CAND_0058287,Computer Vision Engineer,5.5,68.126
376,CAND_0065786,AI Specialist,4.9,67.9
377,CAND_0011125,Junior ML Engineer,6.6,67.846
378,CAND_0005303,Junior ML Engineer,3.1,67.773
379,CAND_0096409,Computer Vision Engineer,4.3,67.75
380,CAND_0041614,AI Specialist,3.2,67.72
381,CAND_0069220,ML Engineer,5.6,67.72
382,CAND_0009837,Senior Data Scientist,4.3,67.685
383,CAND_0048375,Computer Vision Engineer,4.4,67.636
384,CAND_0085265,Senior Software Engineer,3.4,67.621
385,CAND_0020877,Applied ML Engineer,5.1,67.61
386,CAND_0074339,ML Engineer,5.3,67.517
387,CAND_0058300,AI Research Engineer,4.5,67.504
388,CAND_0072688,Data Scientist,6.9,67.498
389,CAND_0018961,AI Specialist,5.0,67.492
390,CAND_0069995,Data Scientist,3.5,67.464
391,CAND_0081321,Senior Software Engineer (ML),5.3,67.462
392,CAND_0073620,AI Research Engineer,4.4,67.402
393,CAND_0003575,Data Scientist,3.7,67.36
394,CAND_0041594,Computer Vision Engineer,4.3,67.346
395,CAND_0052706,AI Research Engineer,5.1,67.337
396,CAND_0024354,Senior Data Engineer,6.1,67.314
397,CAND_0077784,Data Scientist,4.4,67.313
398,CAND_0009200,AI Specialist,5.7,67.16
399,CAND_0043958,AI Research Engineer,6.7,67.153
400,CAND_0089658,Data Engineer,7.5,67.131
401,CAND_0036416,ML Engineer,5.2,67.08
402,CAND_0034392,Analytics Engineer,5.3,67.014
403,CAND_0021973,ML Engineer,5.1,66.992
404,CAND_0061352,ML Engineer,3.5,66.979
405,CAND_0035864,Analytics Engineer,8.0,66.953
406,CAND_0028647,AI Specialist,3.9,66.919
407,CAND_0001056,Computer Vision Engineer,5.1,66.842
408,CAND_0057166,ML Engineer,3.3,66.823
409,CAND_0068012,Junior ML Engineer,5.7,66.787
410,CAND_0069795,Mechanical Engineer,12.8,66.776
411,CAND_0088524,Mechanical Engineer,11.3,66.761
412,CAND_0040805,Civil Engineer,10.7,66.748
413,CAND_0063657,Civil Engineer,14.9,66.732
414,CAND_0008265,Civil Engineer,13.2,66.658
415,CAND_0002793,AI Specialist,5.5,66.649
416,CAND_0005704,ML Engineer,3.3,66.646
417,CAND_0036184,Recommendation Systems Engineer,6.0,66.643
418,CAND_0007874,Junior ML Engineer,3.7,66.637
419,CAND_0008943,Computer Vision Engineer,6.0,66.633
420,CAND_0062009,Junior ML Engineer,5.9,66.62
421,CAND_0067771,Civil Engineer,12.9,66.614
422,CAND_0089516,Civil Engineer,8.7,66.593
423,CAND_0099965,Junior ML Engineer,4.6,66.588
424,CAND_0045187,Civil Engineer,14.9,66.584
425,CAND_0042673,Civil Engineer,10.0,66.578
426,CAND_0010482,Civil Engineer,13.0,66.546
427,CAND_0005525,Mechanical Engineer,9.4,66.514
428,CAND_0055414,Civil Engineer,14.3,66.496
429,CAND_0065321,Mechanical Engineer,13.1,66.47
430,CAND_0060340,Computer Vision Engineer,6.1,66.438
431,CAND_0057668,Mechanical Engineer,10.3,66.434
432,CAND_0031796,Mechanical Engineer,12.4,66.426
433,CAND_0022023,AI Research Engineer,4.6,66.417
434,CAND_0041149,Civil Engineer,13.7,66.413
435,CAND_0013002,Senior Software Engineer (ML),4.4,66.406
436,CAND_0096282,Mechanical Engineer,11.9,66.4
437,CAND_0017443,Mechanical Engineer,11.7,66.391
438,CAND_0033243,Mechanical Engineer,10.6,66.378
439,CAND_0098955,Mechanical Engineer,14.5,66.371
440,CAND_0024756,Mechanical Engineer,11.9,66.362
441,CAND_0086657,Junior ML Engineer,3.3,66.338
442,CAND_0032092,Civil Engineer,14.9,66.335
443,CAND_0020236,Civil Engineer,13.5,66.328
444,CAND_0040871,Mechanical Engineer,9.2,66.328
445,CAND_0017726,Civil Engineer,10.7,66.288
446,CAND_0050506,Mechanical Engineer,11.7,66.277
447,CAND_0083438,Mechanical Engineer,9.8,66.269
448,CAND_0069194,Civil Engineer,11.6,66.266
449,CAND_0036891,Civil Engineer,9.4,66.262
450,CAND_0089405,Civil Engineer,9.9,66.255
451,CAND_0020828,Mechanical Engineer,12.6,66.253
452,CAND_0014179,Mechanical Engineer,10.2,66.248
453,CAND_0088874,Mechanical Engineer,9.7,66.243
454,CAND_0077420,Civil Engineer,14.8,66.218
455,CAND_0008202,Senior Software Engineer (ML),5.7,66.212
456,CAND_0063323,Mechanical Engineer,11.5,66.205
457,CAND_0027651,Civil Engineer,11.2,66.201
458,CAND_0003676,Mechanical Engineer,13.8,66.192
459,CAND_0000739,Civil Engineer,11.1,66.191
460,CAND_0008565,Mechanical Engineer,14.4,66.19
461,CAND_0000839,Mechanical Engineer,10.9,66.188
462,CAND_0019486,Mechanical Engineer,14.7,66.188
463,CAND_0052360,ML Engineer,3.0,66.183
464,CAND_0063378,Civil Engineer,11.8,66.182
465,CAND_0078137,Civil Engineer,13.2,66.176
466,CAND_0058019,Mechanical Engineer,9.6,66.173
467,CAND_0083432,Mechanical Engineer,8.0,66.17
468,CAND_0001433,Mechanical Engineer,9.7,66.169
469,CAND_0075988,Mechanical Engineer,13.7,66.157
470,CAND_0051335,Civil Engineer,14.9,66.139
471,CAND_0022068,Mechanical Engineer,12.3,66.135
472,CAND_0092941,Civil Engineer,14.4,66.135
473,CAND_0081852,Senior Data Scientist,5.9,66.126
474,CAND_0071033,Data Scientist,3.8,66.119
475,CAND_0042429,Civil Engineer,12.5,66.114
476,CAND_0003117,Civil Engineer,9.5,66.11
477,CAND_0087893,Civil Engineer,11.3,66.1
478,CAND_0061710,Mechanical Engineer,8.5,66.098
479,CAND_0061979,Mechanical Engineer,11.8,66.096
480,CAND_0059701,Mechanical Engineer,13.7,66.091
481,CAND_0088438,Senior Software Engineer (ML),6.6,66.081
482,CAND_0070544,AI Research Engineer,4.9,66.08
483,CAND_0015631,Civil Engineer,14.3,66.075
484,CAND_0089350,Mechanical Engineer,9.6,66.065
485,CAND_0026549,AI Specialist,3.4,66.06
486,CAND_0050297,Junior ML Engineer,3.1,66.06
487,CAND_0073917,Data Scientist,5.8,66.043
488,CAND_0000399,Business Analyst,12.9,66.042
489,CAND_0067126,Mechanical Engineer,14.3,66.037
490,CAND_0060784,Civil Engineer,8.7,66.03
491,CAND_0070658,Civil Engineer,10.9,66.008
492,CAND_0098957,Civil Engineer,12.2,66.007
493,CAND_0006334,Graphic Designer,10.4,66.005
494,CAND_0023239,Graphic Designer,14.6,65.999
495,CAND_0091275,Mechanical Engineer,9.7,65.995
496,CAND_0030784,Data Scientist,4.4,65.943
497,CAND_0073007,AI Specialist,5.8,65.942
498,CAND_0017542,Civil Engineer,9.2,65.927
499,CAND_0014195,Project Manager,13.6,65.925
500,CAND_0070036,Graphic Designer,11.6,65.918
501,CAND_0038595,Graphic Designer,14.3,65.911
502,CAND_0092124,Project Manager,14.6,65.894
503,CAND_0064222,Business Analyst,14.3,65.89
504,CAND_0048419,Graphic Designer,13.8,65.878
505,CAND_0091383,Graphic Designer,14.8,65.878
506,CAND_0091580,Data Scientist,5.5,65.869
507,CAND_0039825,Graphic Designer,15.0,65.861
508,CAND_0001095,Mechanical Engineer,10.5,65.84
509,CAND_0004005,Civil Engineer,10.9,65.84
510,CAND_0018300,Mechanical Engineer,8.7,65.84
511,CAND_0029150,Civil Engineer,14.9,65.84
512,CAND_0029552,Civil Engineer,10.5,65.84
